"order","contestant","song","result"
"1","Haley Scarnato","""Tell Him"" (The Exciters)","Safe"
"2","Chris Richardson","""Don't Let the Sun Catch You Crying"" (Gerry And The Pacemakers)","Bottom two"
"3","Stephanie Edwards","""You Don't Have to Say You Love Me"" (Dusty Springfield)","Eliminated"
"4","Blake Lewis","""Time of the Season"" (The Zombies)","Safe"
"5","Lakisha Jones","""Diamonds Are Forever"" (Shirley Bassey)","Safe"
"6","Phil Stacey","""Tobacco Road"" (The Nashville Teens)","Safe"
"7","Jordin Sparks","""I (Who Have Nothing)"" (Ben E. King)","Safe"
"8","Sanjaya Malakar","""You Really Got Me"" (The Kinks)","Safe"
"9","Gina Glocksen","""Paint It Black"" (The Rolling Stones)","Safe"
"10","Chris Sligh","""She's Not There"" (The Zombies)","Safe"
"11","Melinda Doolittle","""As Long As He Needs Me"" (Shirley Bassey)","Safe"
