"order","contestant","song","result"
"1","Gina Glocksen","""Alone"" (i-TEN)","Safe"
"2","Alaina Alexander","""Not Ready to Make Nice"" (Dixie Chicks)","Eliminated"
"3","LaKisha Jones","""Midnight Train to Georgia"" (Gladys Knight & the Pips)","Safe"
"4","Melinda Doolittle","""My Funny Valentine"" (Chaka Khan)","Safe"
"5","Antonella Barba","""Because You Loved Me"" (Celine Dion)","Safe"
"6","Jordin Sparks","""Reflection"" (Christina Aguilera)","Safe"
"7","Stephanie Edwards","""Dangerously in Love"" (Beyoncé)","Safe"
"8","Leslie Hunt","""Feeling Good"" (Cy Grant)","Eliminated"
"9","Haley Scarnato","""Queen of the Night"" (Whitney Houston)","Safe"
"10","Sabrina Sloan","""All the Man That I Need"" (Whitney Houston)","Safe"
NA,NA,NA,NA
NA,NA,NA,NA
