"order","contestant","song","result"
"1","Brandon Rogers","""You Can't Hurry Love"" (The Supremes)","Eliminated"
"2","Melinda Doolittle","""Home""","Safe"
"3","Chris Sligh","""Endless Love"" (Lionel Richie & Diana Ross)","Safe"
"4","Gina Glocksen","""Love Child""","Safe"
"5","Sanjaya Malakar","""Aint No Mountain High Enough"" (Marvin Gaye & Tammi Terrell)","Bottom two"
"6","Haley Scarnato","""Missing You""","Safe"
"7","Phil Stacey","""I'm Gonna Make You Love Me"" (Dee Dee Warwick)","Bottom three"
"8","Lakisha Jones","""God Bless the Child"" (Billie Holiday)","Safe"
"9","Blake Lewis","""You Keep Me Hanging On""","Safe"
"10","Stephanie Edwards","""Love Hangover""","Safe"
"11","Chris Richardson","""The Boss""","Safe"
"12","Jordin Sparks","""If We Hold On Together""","Safe"
