"order","contestant","song","result"
"1","Jena Irene","""Suddenly I See""","Bottom three"
"2","Alex Preston","""I Don't Want to Be""","Safe"
"3","Jessica Meuse","""White Flag""","Safe"
"4","Dexter Roberts","""Lucky Man""","Safe"
"5","Emily Piriz","""Let's Get Loud""","Eliminated"
"6","Caleb Johnson","""Working Man""","Safe"
"7","MK Nobilette","""Drops of Jupiter (Tell Me)""","Bottom three"
"8","C.J. Harris","""Waiting on the World to Change""","Safe"
"9","Sam Woolf","""Just One""","Safe"
"10","Malaya Watson","""Take Me to the King""","Safe"
"11","Ben Briley","""Turning Home""","Safe"
"12","Majesty Rose","""Fix You""","Safe"
