"order","contestant","song","result"
"1","Kimberley Locke","""(Love Is Like a) Heat Wave"" (Martha and the Vandellas)","Bottom Three"
"2","Joshua Gracin","""Baby I Need Your Loving"" (The Four Tops)","Safe"
"3","Charles Grigsby","""How Sweet It Is (To Be Loved by You)"" (Marvin Gaye)","Safe"
"4","Kimberly Caldwell","""Nowhere to Run"" (Martha and the Vandellas)","Safe"
"5","Rickey Smith","""1-2-3"" (Len Barry)","Safe"
"6","Julia DeMato","""Where Did Our Love Go"" (The Supremes)","Bottom Two"
"7","Clay Aiken","""I Can't Help Myself (Sugar Pie Honey Bunch)"" (The Four Tops)","Safe"
"8","Vanessa Olivarez","""You Keep Me Hangin' On"" (The Supremes)","Eliminated"
"9","Corey Clark","""This Old Heart of Mine (Is Weak for You)"" (The Isley Brothers)","Safe"
"10","Carmen Rasmusen","""You Can't Hurry Love"" (The Supremes)","Safe"
"11","Trenyce","""Come See About Me"" (The Supremes)","Safe"
"12","Ruben Studdard","""Baby I Need Your Loving"" (The Four Tops)","Safe"
