"order","contestant","song","result"
"1","Sarina-Joi Crowe","""Love Runs Out""","Eliminated"
"2","Rayvon Owen","""Wide Awake""","Safe"
"3","Daniel Seavey","""Straight Up""","Safe"
"4","Maddie Walker","""Suitcase""","Safe"
"5","Tyanna Jones","""Wings""","Safe"
"6","Nick Fradiani","""In Your Eyes""","Safe"
"7","Jax","""I Want to Hold Your Hand""","Safe"
"8","Qaasim Middleton","""Sir Duke""","Safe"
"9","Clark Beckham","""It's a Man's Man's Man's World""","Safe"
"10","Joey Cook","""King of Spain""","Safe"
"11","Quentin Alexander","""Royals""","Safe"
"12","Adanna Duru","""You and I""","Safe"
