"order","contestant","song","song","result"
"1","Adanna Duru","""Love You I Do""","Dreamgirls","Eliminated"
"2","Daniel Seavey","""Lost Stars""","Begin Again","Safe"
"3","Rayvon Owen","""Stayin' Alive""","Saturday Night Fever","Bottom three"
"4","Nick Fradiani","""Danger Zone""","Top Gun","Safe"
"5","Joey Cook","""Mad World""","Donnie Darko","Safe"
"6","Tyanna Jones","""Circle of Life""","The Lion King","Safe"
"7","Quentin Alexander","""You're the One That I Want""","Grease","Safe"
"8","Maddie Walker","""Let's Hear It for the Boy""","Footloose","Eliminated"
"9","Clark Beckham","""Sunday Morning""","Cheaper by the Dozen 2","Safe"
"10","Jax","""Grow Old with You""","The Wedding Singer","Safe"
"11","Qaasim Middleton","""Come Together""","Across the Universe","Safe"
