"order","contestant","song","result"
"1","Syesha Mercado","""Got to Get You into My Life""","Bottom three"
"2","Chikezie","""She's a Woman""","Safe"
"3","Ramiele Malubay","""In My Life""","Safe"
"4","Jason Castro","""If I Fell""","Safe"
"5","Carly Smithson","""Come Together""","Safe"
"6","David Cook","""Eleanor Rigby""","Safe"
"7","Brooke White","""Let It Be""","Safe"
"8","David Hernandez","""I Saw Her Standing There""","Eliminated"
"9","Amanda Overmyer","""You Can't Do That""","Safe"
"10","Michael Johns","""Across the Universe""","Safe"
"11","Kristy Lee Cook","""Eight Days a Week""","Bottom two"
"12","David Archuleta","""We Can Work It Out""","Safe"
