"order","contestant","song","result"
"1","Amanda Overmyer","""Back in the U.S.S.R.""","Eliminated"
"2","Kristy Lee Cook","""You've Got to Hide Your Love Away""","Bottom two"
"3","David Archuleta","""The Long and Winding Road""","Safe"
"4","Michael Johns","""A Day in the Life""","Safe"
"5","Brooke White","""Here Comes the Sun""","Safe"
"6","David Cook","""Day Tripper""","Safe"
"7","Carly Smithson","""Blackbird""","Bottom three"
"8","Jason Castro","""Michelle""","Safe"
"9","Syesha Mercado","""Yesterday""","Safe"
"10","Chikezie","""I've Just Seen a Face""","Safe"
"11","Ramiele Malubay","""I Should Have Known Better""","Safe"
