"order","contestant","song","result"
"1","Siobhan Magnus","""Through the Fire""","Safe"
"2","Casey James","""Hold On, I'm A Comin'""","Safe"
"3","Michael Lynche","""Ready for Love""","Safe"
"4","Didi Benami","""What Becomes of the Brokenhearted""","Eliminated"
"5","Tim Urban","""Sweet Love""","Bottom three"
"6","Andrew Garcia","""Forever""","Safe"
"7","Katie Stevens","""Chain of Fools""","Bottom three"
"8","Lee DeWyze","""Treat Her Like a Lady""","Safe"
"9","Crystal Bowersox","""Midnight Train to Georgia""","Safe"
"10","Aaron Kelly","""Ain't No Sunshine""","Safe"
