"order","contestant","song","result"
"1","Michael Lynche","""Miss You""","Safe"
"2","Didi Benami","""Play with Fire""","Safe"
"3","Casey James","""It's All Over Now""","Safe"
"4","Lacey Brown","""Ruby Tuesday""","Eliminated"
"5","Andrew Garcia","""Gimme Shelter""","Safe"
"6","Katie Stevens","""Wild Horses""","Safe"
"7","Tim Urban","""Under My Thumb""","Bottom three"
"8","Siobhan Magnus","""Paint It, Black""","Safe"
"9","Lee DeWyze","""Beast of Burden""","Safe"
"10","Paige Miles","""Honky Tonk Women""","Bottom three"
"11","Aaron Kelly","""Angie""","Safe"
"12","Crystal Bowersox","""You Can't Always Get What You Want""","Safe"
