"order","contestant","song","result"
"1","Lee DeWyze","""The Letter""","Safe"
"2","Paige Miles","""Against All Odds (Take a Look at Me Now)""","Eliminated"
"3","Tim Urban","""Crazy Little Thing Called Love""","Bottom three"
"4","Aaron Kelly","""I Don't Want to Miss a Thing""","Safe"
"5","Crystal Bowersox","""Me and Bobby McGee""","Safe"
"6","Michael Lynche","""When a Man Loves a Woman""","Safe"
"7","Andrew Garcia","""I Heard It Through the Grapevine""","Safe"
"8","Katie Stevens","""Big Girls Don't Cry""","Bottom three"
"9","Casey James","""The Power of Love""","Safe"
"10","Didi Benami","""You're No Good""","Safe"
"11","Siobhan Magnus","""Superstition""","Safe"
