"order","contestant","song","result"
"1","Melinda Ademi","""Nobody's Perfect""","Eliminated"
"2","Candice Glover","""(You Make Me Feel Like) A Natural Woman""","Advanced"
"3","Juliana Chahayed","""Skyscraper""","Eliminated"
"4","Jett Hermano","""Only Girl (in the World)""","Eliminated"
"5","Cristabel Clack","""No One""","Eliminated"
"6","Aubrey Cleland","""Sweet Dreams""","Advanced"
"7","Rachel Hale","""Nothing but the Water""","Eliminated"
"8","Breanna Steer","""Bust Your Windows""","Advanced"
"9","Janelle Arthur","""Just a Kiss""","Advanced"
"10","Zoanette Johnson","""Circle of Life""","Advanced"
