"order","contestant","song","result"
"1","Diana DeGarmo","""A Broken Wing"" (Martina McBride)","Bottom Three"
"2","George Huff","""I Can Love You Like That"" (John Michael Montgomery)","Safe"
"3","Fantasia Barrino","""Always on My Mind"" (Brenda Lee)","Safe"
"4","John Stevens","""King of the Road"" (Roger Miller)","Safe"
"5","Camile Velasco","""Desperado"" (The Eagles)","Bottom Two"
"6","Jennifer Hudson","""No One Else on Earth"" (Wynonna Judd)","Safe"
"7","Jon Peter Lewis","""She Believes in Me"" (Kenny Rogers)","Safe"
"8","Jasmine Trias","""Breathe"" (Faith Hill)","Safe"
"9","Matthew Rogers","""Amazed"" (Lonestar)","Eliminated"
"10","LaToya London","""Ain't Goin' Down ('Til the Sun Comes Up)"" (Garth Brooks)","Safe"
"11","Amy Adams","""Sin Wagon"" (Dixie Chicks)","Safe"
