"order","contestant","song","result"
"1","Camile Velasco","""For Once in My Life"" (Stevie Wonder)","Safe"
"2","Jon Peter Lewis","""This Old Heart of Mine"" (The Isley Brothers)","Safe"
"3","LaToya London","""Ooo Baby Baby"" (The Miracles)","Bottom Three"
"4","Amy Adams","""Dancing in the Street"" (Martha & the Vandellas)","Eliminated"
"5","John Stevens","""My Girl"" (The Temptations)","Safe"
"6","Jennifer Hudson","""(Love Is Like a) Heat Wave"" (Martha & the Vandellas)","Bottom Two"
"7","Jasmine Trias","""You're All I Need to Get By"" (Marvin Gaye and Tammi Terrell)","Safe"
"8","Diana DeGarmo","""Do You Love Me"" (The Contours)","Safe"
"9","Fantasia Barrino","""I Heard It Through the Grapevine"" (The Miracles)","Safe"
"10","George Huff","""Ain't Too Proud to Beg"" (The Temptations)","Safe"
