"order","contestant","song","result"
"1","Olivia Rox","""Unconditionally""","Eliminated"
"2","Gianna Isabella","""Listen""","Eliminated"
"3","Lee Jean","""Skinny Love""","Safe"
"4","Avalon Young","""Stitches""","Bottom 3"
"5","Dalton Rapattoni","""Hey There Delilah""","Safe"
"6","Tristan McIntosh","""Nothin' Like You""","Safe"
"7","MacKenzie Bourg","""I See Fire""","Safe"
"8","La'Porsha Renae","""Diamonds""","Safe"
"9","Sonika Vaid","""Bring Me to Life""","Safe"
"10","Trent Harmon","""Like I Can""","Safe"
