"order","contestant","song","result"
"1","Matt Giraud","""Let's Get It On""","Bottom two"
"2","Kris Allen","""How Sweet It Is (To Be Loved by You)""","Safe"
"3","Scott MacIntyre","""You Can't Hurry Love""","Bottom three"
"4","Megan Joy","""For Once in My Life""","Safe"
"5","Anoop Desai","""Ooo Baby Baby""","Safe"
"6","Michael Sarver","""Ain't Too Proud to Beg""","Eliminated"
"7","Lil Rounds","""(Love Is Like A) Heat Wave""","Safe"
"8","Adam Lambert","""The Tracks of My Tears""","Safe"
"9","Danny Gokey","""Get Ready""","Safe"
"10","Allison Iraheta","""Papa Was a Rollin' Stone""","Safe"
