"order","contestant","song","result"
"1","Casey Abrams","""I Heard It Through the Grapevine""","Judge's Save"
"2","Thia Megia","""(Love Is Like a) Heat Wave""","Bottom three"
"3","Jacob Lusk","""You're All I Need to Get By""","Safe"
"4","Lauren Alaina","""You Keep Me Hangin' On""","Safe"
"5","Stefano Langone","""Hello""","Bottom three"
"6","Haley Reinhart","""You've Really Got a Hold on Me""","Safe"
"7","Scotty McCreery","""For Once in My Life""","Safe"
"8","Pia Toscano","""All in Love Is Fair""","Safe"
"9","Paul McDonald","""The Tracks of My Tears""","Safe"
"10","Naima Adedapo","""Dancing in the Street""","Safe"
"11","James Durbin","""Living for the City""","Safe"
