"order","contestant","song","result"
"1","Jessica Sierra","""Shop Around"" (The Miracles)","Bottom 3"
"2","Anwar Robinson","""A House is Not a Home"" (Dionne Warwick)","Safe"
"3","Mikalah Gordon","""Son of a Preacher Man"" (Dusty Springfield)","Bottom 2"
"4","Constantine Maroulis","""You've Made Me So Very Happy"" (Brenda Holloway)","Safe"
"5","Lindsey Cardinale","""Knock on Wood"" (Eddie Floyd)","Eliminated"
"6","Anthony Fedorov","""Breaking Up Is Hard to Do"" (Neil Sedaka)","Safe"
"7","Nadia Turner","""You Don't Have to Say You Love Me"" (Dusty Springfield)","Safe"
"8","Bo Bice","""Spinning Wheel"" (Blood, Sweat & Tears)","Safe"
"9","Vonzell Solomon","""Anyone Who Had Heart"" (Dionne Warwick)","Safe"
"10","Scott Savol","""Ain't Too Proud to Beg"" (The Temptations)","Safe"
"11","Carrie Underwood","""When Will I Be Loved"" (The Everly Brothers)","Safe"
"12","Nikko Smith","""I Want You Back"" (The Jackson 5)","Safe"
