"order","contestant","song","result"
"1","Nikko Smith","""Part-Time Lover"" (Stevie Wonder)","Safe"
"2","Scott Savol","""You Are My Lady"" (Freddie Jackson)","Safe"
"3","Anthony Fedorov","""Hold on to the Nights"" (Richard Marx)","Safe"
"4","Bo Bice","""Drift Away"" (John Henry Kurtz)","Safe"
"5","Travis Tucker","""My Cherie Amour"" (Stevie Wonder)","Safe"
"6","Constantine Maroulis","""Kiss from a Rose"" (Seal)","Safe"
"7","David Brown","""Never Can Say Goodbye"" (The Jackson 5)","Safe"
"8","Michael Grimaldi","""How Could I"" (Marc Anthony)","Eliminated"
"9","Anwar Robinson","""Moon River"" (Andy Williams)","Safe"
"10","Judd Harris","""Travelin' Band"" (Creedence Clearwater Revival)","Eliminated"
"11","Joseph Murena","""How Am I Supposed to Live Without You"" (Laura Branigan)","Safe"
"12","Mario Vazquez","""Do I Do"" (Stevie Wonder)","Safe"
