"order","contestant","song","result"
"1","Lisa Tucker","""Because of You""(Kelly Clarkson)","Eliminated"
"2","Kellie Pickler","""Suds in the Bucket""(Sara Evans)","Safe"
"3","Ace Young","""Drops of Jupiter (Tell Me)""(Train)","Bottom three"
"4","Taylor Hicks","""Trouble""(Ray LaMontagne)","Safe"
"5","Mandisa","""Shackles (Praise You)""(Mary Mary)","Safe"
"6","Chris Daughtry","""What If""(Creed)","Safe"
"7","Katharine McPhee","""The Voice Within""(Christina Aguilera)","Bottom two"
"8","Bucky Covington","""Real Good Man""(Tim McGraw)","Safe"
"9","Paris Bennett","""Work It Out""(Beyoncé)","Safe"
"10","Elliott Yamin","""I Don't Want to Be""(Gavin DeGraw)","Safe"
